Phrase n°,Temoin,dracula1.txt,dracula2.txt
35,"fis-je, un suicidé… Intéressant… Mais il m’était toujours impossible de comprendre pourquoi les chevaux avaient été pris de frayeur",=,=
36,"Tandis que nous parlions de la sorte, nous parvint de très loin un cri qui tenait à la fois du jappement et de l’aboiement ; de très loin, certes, mais les chevaux se montraient maintenant véritablement affolés, et Johann eut toutes les difficultés du monde à les apaiser",=,=
37,"Il se retourna vers moi, et me dit, la voix tremblante :  – On croirait entendre un loup, et pourtant il n’y a plus de loups ici","Il se retourna vers moi, et me dit, la voix tremblante :  – On croirait entendre un mouton, et pourtant il n’y a plus de moutons ici",=
38,"– Ah non",=,=
39,"Et il y a longtemps que les loups n’approchent plus de la ville",=,=
40,"– Très, très longtemps, du moins au printemps et en été ; mais on les a revus parfois… avec la neige",=,=
41,"Il caressait ses chevaux, essayant toujours de les calmer, lorsque le soleil fut caché par de gros nuages sombres qui, en quelques instants, envahirent le ciel","Il caressait ses cheveux, essayant toujours de les calmer, lorsque le soleil fut caché par de gros nuages sombres qui, en quelques instants, envahirent le ciel",=
42,"Presque en même temps un vent froid souffla – ou plutôt il y eut une seule bouffée de vent froid qui ne devait être somme toute qu’un signe précurseur car le soleil, bientôt, brilla à nouveau",=,=
43,"La main en visière, Johann examina l’horizon, puis me dit :  – Tempête de neige ; nous l’aurons avant longtemps",=,=
44,"Une fois de plus, il regarda l’heure, puis, tenant plus fermement les rênes, car assurément la nervosité des chevaux pouvait lui faire redouter le pire, il remonta sur le siège comme si le moment était venu de reprendre la route",=,=
45,"Quant à moi, je voulais encore qu’il m’expliquât quelque chose",=,=
46,"– Où mène donc cette petite route que vous refusez de prendre",=,=
47,"lui demandai-je",=,=
48,"À quel endroit arrive-t-on",=,=
49,"Il se signa, marmonna une prière entre les dents, puis se contenta de me répondre :  – Il est interdit d’y aller",=,=
50,"– Interdit d’aller où",=,=
51,"– Mais au village",=,=
52,"– Ah",=,=
53,"il y a un village, là-bas",=,=
54,"– Non, non",=,=
55,"Il y a des siècles que personne n’y vit plus",=,=
56,"– Pourtant vous parliez d’un village",=,=
57,"– Oui, il y en avait un",=,=
58,"– Qu’est-il devenu",=,=
59,"Là-dessus, il se lança dans une longue histoire où l’allemand se mêlait à l’anglais dans un langage si embrouillé que je le suivais difficilement, on s’en doute ; je crus comprendre cependant qu’autrefois – il y avait de cela des centaines et des centaines d’années – des hommes étaient morts dans ce village, y avaient été enterrés ; puis on avait entendu des bruits sous la terre, et lorsqu’on avait ouvert leurs tombes, ces hommes – et ces femmes -étaient apparus pleins de vie, un sang vermeil colorant leurs lèvres",=,=
60,"Aussi, afin de sauver leurs vies (et surtout leurs âmes, ajouta Johann en se signant), les habitants s’enfuirent vers d’autres villages où les vivants vivaient et où les morts étaient des morts et non pas des… et non pas quelque chose d’autre",=,=
61,"Le cocher, évidemment, avait été sur le point de prononcer certains mots et, à la dernière seconde, il en avait été lui-même épouvanté",=,=
62,"Tandis qu’il poursuivait son récit, il s’excitait de plus en plus",=,=
63,"On eût dit que son imagination l’emportait, et c’est dans une véritable crise de terreur qu’il l’acheva pâle comme la mort, suant à grosses gouttes, tremblant, regardant avec angoisse tout autour de lui, comme s’il s’attendait à voir se manifester quelque présence redoutable sur la plaine où le soleil brillait de tous ses feux",=,=
64,"Finalement, il eut un cri déchirant, plein de désespoir :  – Walpurgis Nacht",=,=
65,"Et il me montra la voiture comme pour me supplier d’y reprendre place",=,=
66,"Mon sang anglais me monta à la tête et, reculant d’un pas ou deux, je dis à l’Allemand :  – Vous avez peur, Johann, vous avez peur",=,=
67,"Reprenez la route de Munich ; je retournerai seul",=,=
68,"La promenade à pied me fera du bien",=,=
69,"La portière étant ouverte, je n’eus qu’à prendre ma canne en bois de chêne dont, en vacances, j’avais toujours soin de me munir",=,=
70,"– Oui, rentrez à Munich, Johann, repris-je",=,=
71,"Walpurgis Nacht, ça ne concerne pas les Anglais",=,=
72,"Les chevaux s’énervaient de plus en plus, et Johann essayait à grand-peine de les retenir, cependant qu’il me priait instamment de ne rien faire d’aussi insensé",=,=
73,"Pour moi, j’avais pitié du pauvre garçon qui prenait la chose tellement à cœur",=,"Pour moi, j’avais pitié du pauvre garçon qui prenait la chose tellement à coeur"
74,"Cependant, je ne pouvais m’empêcher de rire",=,=
75,"Sa frayeur lui avait fait oublier que, pour se faire comprendre, il devait parler anglais, de sorte qu’il continua à baragouiner de l’allemand",=,=
76,"Cela devenait franchement ennuyeux",=,=
77,"Du doigt, je lui montrai sa route, lui criai : « Munich",=,=
78,"» et, me détournant, je m’apprêtai à descendre vers la vallée",=,=
79,"Ce fut, cette fois, avec un geste de désespoir qu’il fit prendre à ses chevaux la direction de Munich",=,=
80,"Appuyé sur ma canne, je suivis la voiture des yeux : elle s’éloignait très lentement",=,=
81,"Alors, apparut au sommet de la colline une silhouette d’homme – un homme grand et maigre ; je le distinguais malgré la distance",=,=
82,"Comme il approchait des chevaux, ceux-ci se mirent à se cabrer, puis à se débattre, et à hennir de terreur",=,=
83,"Johann n’était plus maître d’eux : ils s’emballèrent",=,=
84,"Bientôt je ne les vis plus ; alors je voulus à nouveau regarder l’étranger mais je m’aperçus que lui aussi avait disparu",=,=
85,"Ma foi, c’est le cœur léger que je m’engageai dans le chemin qui effrayait tant Johann – pourquoi",=,"Ma foi, c’est le coeur léger que je m’engageai dans le chemin qui effrayait tant Johann – pourquoi"
86,"il m’était vraiment impossible de le comprendre ; je crois que je marchai bien deux heures sans m’apercevoir du temps qui s’écoulait ni de la distance que je parcourais, et, assurément, sans rencontrer âme qui vive",=,=
87,"L’endroit était complètement désert",=,=
88,"Ceci, toutefois, je ne le remarquai que lorsque, à un tournant du chemin, j’arrivai à la lisière d’un bois dont la végétation était clairsemée",=,=
89,"Alors seulement je me rendis compte de l’impression qu’avait faite sur moi l’aspect désolé de cette partie du pays",=,=
90,"Je m’assis pour me reposer – observant peu à peu toutes les choses autour de moi",=,=
91,"Bientôt, il me sembla qu’il faisait beaucoup plus froid qu’au début de ma promenade et que j’entendais un bruit ressemblant à un long soupir entrecoupé de temps à autre d’une sorte de mugissement étouffé",=,=
92,"Je levai les yeux et je vis que de gros nuages, très haut, passaient dans le ciel, chassés du nord vers le sud",=,=
93,"Un orage allait éclater, c’était certain",=,=
94,"Je me sentis frissonner, et je crus que j’étais resté trop longtemps assis après ces deux heures de marche",=,=
95,"Je repris donc ma promenade",=,=
96,"Le paysage devenait réellement merveilleux","Le paysage devenait réellement peureux",=
97,"Non pas que l’œil fût attiré particulièrement par telle ou telle chose remarquable ; mais, de quelque côté que l’on se tournât, tout était d’une beauté enchanteresse",=,"Non pas que l’oeil fût attiré particulièrement par telle ou telle chose remarquable ; mais, de quelque côté que l’on se tournât, tout était d’une beauté enchanteresse"
98,"L’après-midi touchait à sa fin ; le crépuscule tombait déjà lorsque je commençai à me demander par quel chemin je retournerais vers Munich",=,=
99,"L’éclatante lumière du jour éteinte, il faisait de plus en plus froid et les nuages qui s’amoncelaient dans le ciel devenaient de plus en plus menaçants, accompagnés d’un grondement lointain, duquel surgissait de temps à autre ce cri mystérieux que le cocher croyait reconnaître pour celui du loup",=,=
100,"Un instant, j’hésitai",=,=
101,"Pourtant, je l’avais dit, je voulais voir ce village abandonné",=,=
102,"Continuant à marcher, j’arrivai bientôt dans une vaste plaine entourée de collines aux flancs complètement boisés",=,=
103,"Du regard, je suivis la sinueuse route de campagne : elle disparaissait à un tournant, derrière un épais bouquet d’arbres qui s’élevaient au pied d’une des collines",=,=
104,"J’étais encore à contempler ce tableau, quand, soudain, un vent glacé souffla et la neige se mit à tomber",=,=
105,"Je pensai aux milles et aux milles que j’avais parcourus dans cette campagne déserte, et j’allai m’abriter sous les arbres, en face de moi",=,=
106,"Le ciel s’assombrissait de minute en minute, les flocons de neige tombaient plus serrés et avec une rapidité vertigineuse, si bien qu’il ne fallut pas longtemps pour que la terre, devant moi, autour de moi, devînt un tapis d’une blancheur scintillante dont je ne distinguais pas l’extrémité perdue dans une sorte de brouillard",=,=
107,"Je me remis en route, mais le chemin était très mauvais ; ses côtés se confondaient ici avec les champs, là avec la lisière du bois, et la neige ne simplifiait pas les choses ; aussi ne fus-je pas long à m’apercevoir que je m’étais écarté du chemin, car mes pieds, sous la neige, s’enfonçaient de plus en plus dans l’herbe et, me semblait-il, dans une sorte de mousse",=,=
108,"Le vent soufflait avec violence, le froid devenait piquant, et j’en souffrais véritablement, en dépit de l’exercice que j’étais bien forcé de faire dans mes efforts pour avancer",=,=
109,"Les tourbillons de neige m’empêchaient presque de garder les yeux ouverts",=,=
110,"De temps en temps un éclair déchirait les nues et, l’espace d’une ou deux secondes, je voyais alors devant moi de grands arbres – surtout des ifs et des cyprès couverts de neige",=,=
111,"À l’abri sous les arbres et entouré du silence de la plaine environnante, je n’entendais rien d’autre que le vent siffler au-dessus de ma tête",=,=
112,"L’obscurité qu’avait créée l’orage fut engloutie par l’obscurité définitive de la nuit… Puis la tempête parut s’éloigner : il n’y avait plus, par moments, que des rafales d’une violence extrême et, chaque fois, j’avais l’impression que ce cri mystérieux, presque surnaturel, du loup était répété par un écho multiple",=,=
113,"Entre les énormes nuages noirs apparaissait parfois un rayon de lune qui éclairait tout le paysage ; je pus de la sorte me rendre compte que j’étais parvenu au bord de ce qui ressemblait vraiment à une forêt d’ifs et de cyprès",=,=
114,"Comme la neige avait cessé de tomber, je quittai mon abri pour aller voir de plus près",=,=
115,"Je me dis que peut-être je trouverais là une maison, fût-elle en ruine, qui me serait un refuge plus sûr",=,=
116,"Longeant la lisière du bois, je m’aperçus que j’en étais séparé par un mur bas ; mais un peu plus loin, j’y trouvai une brèche",=,=
117,"À cet endroit, la forêt de cyprès s’ouvrait en deux rangées parallèles pour former une allée conduisant à une masse carrée qui devait être un bâtiment",=,=
118,"Mais au moment précis où je l’aperçus, des nuages voilèrent la lune, et c’est dans l’obscurité complète que je remontai l’allée",=,=
119,"Je frissonnais de froid tout en marchant, mais un refuge m’attendait et cet espoir guidait mes pas ; en réalité, j’avançais tel un aveugle",=,=
120,"Je m’arrêtai, étonné du silence soudain",=,=
121,"L’orage était passé ; et, en sympathie eût-on dit avec le calme de la nature, mon cœur semblait cesser de battre",=,"L’orage était passé ; et, en sympathie eût-on dit avec le calme de la nature, mon coeur semblait cesser de battre"
122,"Cela ne dura qu’un instant, car la lune surgit à nouveau d’entre les nuages et je vis que j’étais dans un cimetière et que le bâtiment carré, au bout de l’allée, était un grand tombeau de marbre, blanc comme la neige qui le recouvrait presque entièrement et recouvrait le cimetière tout entier",=,=
123,"Le clair de lune amena un nouveau grondement de l’orage qui menaçait de recommencer et, en même temps, j’entendis les hurlements sourds mais prolongés de loups ou de chiens",=,=
124,"Terriblement impressionné, je sentais le froid me transpercer peu à peu et, me semblait-il, jusqu’au cœur même",=,"Terriblement impressionné, je sentais le froid me transpercer peu à peu et, me semblait-il, jusqu’au coeur même"
125,"Alors, tandis que la lune éclairait encore le tombeau de marbre, l’orage, avec une violence accrue, parut revenir sur ses pas",=,=
126,"Poussé par une sorte de fascination, j’approchai de ce mausolée qui se dressait là, seul, assez étrangement ; je le contournai et je lus, sur la porte de style dorique, cette inscription en allemand :  COMTESSE DOLINGEN DE GRATZ  STYRIE  ELLE A CHERCHÉ ET TROUVÉ LA MORT  1801",=,=
127,"Au-dessus du tombeau, apparemment fiché dans le marbre – le monument funéraire était composé de plusieurs blocs de marbre – on voyait un long pieu en fer","Au-dessus du tombeau, apparemment fiché dans la pierre – le monument funéraire était composé de plusieurs blocs de marbre – on voyait un long pieu en fer",=
128,"Revenu de l’autre côté, je déchiffrai ces mots, gravés en caractères russes :  LES MORTS VONT VITE  Tout cela était si insolite et mystérieux que je fus près de m’évanouir",=,=
129,"Je commençais à regretter de n’avoir pas suivi le conseil de Johann",=,=
130,"Une idée effrayante me vint alors à l’esprit",=,=
131,"C’était la nuit de Walpurgis",=,=
132,"Walpurgis Nacht",=,=
133,"Oui, la nuit de Walpurgis durant laquelle des milliers et des milliers de gens croient que le diable surgit parmi nous, que les morts sortent de leurs tombes, et que tous les génies malins de la terre, de l’air et des eaux mènent une bacchanale",=,=
134,"Je me trouvais au lieu même que le cocher avait voulu éviter à tout prix – dans ce village abandonné depuis des siècles",=,=
135,"Ici, on avait enterré la suicidée et j’étais seul devant son tombeau – impuissant, tremblant de froid sous un linceul de neige, un orage violent menaçant à nouveau",=,=
136,"Il me fallut faire appel à tout mon courage, à toute ma raison, aux croyances religieuses dans lesquelles j’avais été élevé pour ne pas succomber à la terreur",=,=
137,"Je fus pris bientôt dans une véritable tornade","Je fus pris bientôt dans une véritable tempête",=
138,"Le sol tremblait comme sous le trot de centaines de chevaux, et, cette fois, ce ne fut plus une tempête de neige, mais une tempête de grêle qui s’abattit avec une telle force que les grêlons emportaient les feuilles, cassaient les branches si bien que, en un moment, les cyprès ne m’abritèrent plus du tout",=,=
139,"Je m’étais précipité sous un autre arbre ; mais, là non plus, je ne fus pas longtemps à l’abri, et je cherchai un endroit qui pût m’être vraiment un refuge : la porte du tombeau qui, étant de style dorique, comportait une embrasure très profonde",=,=
140,"Là, appuyé contre le bronze massif, j’étais quelque peu protégé des énormes grêlons, car ils ne m’atteignaient plus que par ricochets, après être d’abord tombés dans l’allée ou sur la dalle de marbre",=,=
141,"Soudain, la porte céda, s’entrouvrit vers l’intérieur",=,=
142,"Le refuge que m’offrait ce sépulcre me sembla une aubaine par cet orage impitoyable et j’allais y entrer lorsqu’un éclair fourchu illumina toute l’étendue du ciel",=,=
143,"À l’instant même, aussi vrai que je suis vivant, je vis, ayant tourné les yeux vers l’obscurité du caveau, une femme très belle, aux joues rondes, aux lèvres vermeilles, étendue sur une civière, et qui semblait dormir",=,=
144,"Il y eut un coup de tonnerre, et je fus saisi comme par la main d’un géant qui me rejeta dans la tempête",=,=
145,"Tout cela s’était passé si rapidement qu’avant même que je pusse me rendre compte du choc – tant moral que physique – que j’avais reçu, je sentis à nouveau les grêlons s’abattre sur moi",=,=
146,"Mais en même temps, j’avais l’impression étrange de n’être pas seul",=,=
147,"Je regardai encore en direction du tombeau dont la porte était restée ouverte",=,=
148,"Un autre éclair aveuglant parut venir frapper le pieu de fer qui surmontait le monument de marbre, puis se frayer un chemin jusqu’au creux de la terre tout en détruisant la majestueuse sépulture",=,=
149,"La morte, en proie à d’affreuses souffrances, se souleva un moment ; les flammes l’entouraient de tous côtés, mais ses cris de douleur étaient étouffés par le bruit du tonnerre",=,=
150,"Ce fut ce concert horrible que j’entendis en dernier lieu, car à nouveau la main géante me saisit et m’emporta à travers la grêle, tandis que le cercle des collines autour de moi répercutait les hurlements des loups",=,=
151,"Le dernier spectacle dont je me souvienne, est celui d’une foule mouvante et blanche, fort vague à vrai dire, comme si toutes les tombes s’étaient ouvertes pour laisser sortir les fantômes des morts qui se rapprochaient tous de moi à travers les tourbillons de grêle",=,=
152,"……………………  Peu à peu cependant, je repris connaissance ; puis j’éprouvai une si grande fatigue qu’elle m’effraya",=,=
153,"Il me fallut longtemps pour me souvenir de ce qui s’était passé",=,=
154,"Mes pieds me faisaient terriblement souffrir, et je n’arrivais pas à les remuer",=,=
155,"Ils étaient comme engourdis",=,=
156,"Ma nuque me semblait glacée ; toute ma colonne vertébrale, et mes oreilles, de même que mes pieds, étaient à la fois engourdis et douloureux",=,=
157,"Pourtant j’avais au cœur une impression de chaleur véritablement délicieuse comparée à toutes ces sensations",=,"Pourtant j’avais au coeur une impression de chaleur véritablement délicieuse comparée à toutes ces sensations"
158,"C’était un cauchemar – un cauchemar physique, si je puis me servir d’une telle expression ; car je ne sais quel poids très lourd sur ma poitrine me rendait la respiration difficile",=,=
159,"Je restai assez longtemps, je pense, dans cet état de demi-léthargie, et je n’en sortis que pour sombrer dans le sommeil, à moins que ce ne fût une sorte d’évanouissement",=,=
160,"Puis je fus pris d’un haut-le-cœur, comme lorsqu’on commence à éprouver le mal de mer ; en moi montait le besoin incœrcible d’être délivré de quelque chose… je ne savais de quoi",=,"Puis je fus pris d’un haut-le-coeur, comme lorsqu’on commence à éprouver le mal de mer ; en moi montait le besoin incoercible d’être délivré de quelque chose… je ne savais de quoi"
161,"Tout autour de moi régnait un silence profond, comme si le monde entier dormait ou venait de mourir – silence que rompait seulement le halètement d’un animal qui devait se trouver tout près de moi",=,=
162,"Je sentis quelque chose de chaud qui m’écorchait la gorge, et c’est alors que m’apparut l’horrible vérité",=,=
163,"Un gros animal était couché sur moi, la gueule collée à ma gorge",=,=
164,"Je n’osais pas remuer, sachant qu’une prudente immobilité pourrait seule me sauver ; mais la bête, de son côté, comprit sans doute qu’il s’était fait un changement en moi, car elle redressa la tête",=,=
165,"À travers mes cils, je vis au-dessus de moi les deux grands yeux flamboyants d’un loup gigantesque",=,=
166,"Ses dents blanches, longues et pointues, brillaient dans sa gueule rouge béante, et son souffle chaud et âcre m’arrivait jusque sous les narines",=,=
167,"Une fois de plus, il se passa un bon moment dont je n’ai gardé aucun souvenir",=,=
168,"Enfin, je perçus un grognement sourd, et une sorte de jappement – ceci à plusieurs reprises",=,=
169,"Puis, très loin, me sembla-t-il, j’entendis comme plusieurs voix crier ensemble : « Holà",=,=
170,"Holà",=,=
171,"» Avec précaution, je levai la tête pour regarder dans la direction d’où venaient ces cris ; mais le cimetière me bouchait la vue",=,=
172,"Le loup continuait à japper d’étrange façon, et une lueur rouge se mit à contourner le bois de cyprès ; il me semblait qu’elle suivait les voix",=,=
173,"Celles-ci se rapprochaient cependant que le loup hurlait maintenant sans arrêt et de plus en plus fort",=,=
174,"Plus que jamais je craignais de faire le moindre mouvement, de laisser échapper ne fût-ce qu’un soupir",=,=
175,"Et la lueur rouge se rapprochait, elle aussi, par-dessus le linceul blanc qui s’étendait tout autour de moi dans la nuit",=,=
176,"Tout à coup surgit de derrière les arbres, au trot, un groupe de cavaliers portant des torches",=,=
177,"Le loup, se levant aussitôt, quitta ma poitrine et s’enfonça dans le cimetière",=,=
178,"Je vis un des cavaliers (c’étaient des soldats, je reconnaissais la tenue militaire) épauler sa carabine et viser",=,=
179,"Un de ses compagnons le toucha du coude, et la balle siffla au-dessus de ma tête",=,=
180,"Assurément, il avait pris mon corps pour celui du loup",=,=
181,"Un autre soldat vit l’animal qui s’éloignait, et un deuxième coup de feu fut tiré",=,=
182,"Puis, tous les cavaliers partirent au galop, certains vers moi, les autres poursuivant le loup qui disparut sous les cyprès lourds de neige",=,=
183,"Une fois qu’ils furent près de moi, je voulus enfin remuer bras et jambes, mais cela me fut impossible : j’étais sans forces, encore que je ne perdisse rien de ce qui se passait, de ce qui se disait autour de moi",=,=
184,"Deux ou trois soldats mirent pied à terre et s’agenouillèrent pour m’examiner de près",=,=
185,"L’un d’eux me souleva la tête, puis mit sa main sur mon cœur",=,"L’un d’eux me souleva la tête, puis mit sa main sur mon coeur"
186,"– Tout va bien, mes amis",=,=
187,"cria-t-il",=,=
188,"Son cœur bat encore",=,"Son coeur bat encore"
189,"On me versa un peu de brandy dans la gorge ; cela me fit revenir complètement à moi, et j’ouvris enfin les yeux tout grands","On me versa un peu de whisky dans la gorge ; cela me fit revenir complètement à moi, et j’ouvris enfin les yeux tout grands",=
190,"Les lumières et les ombres jouaient dans les arbres ; j’entendais les hommes s’interpeller",=,=
191,"Leurs cris exprimaient l’épouvante, et bientôt ceux qui étaient partis à la recherche du loup vinrent les rejoindre, excités tels des possédés",=,=
192,"Ceux qui m’entouraient les questionnèrent avec angoisse :  – Et bien",=,=
193,"l’avez-vous trouvé",=,=
194,"– Non",=,=
195,"Non",=,=
196,"répondirent-ils précipitamment, et l’on sentait qu’ils avaient encore peur",=,=
197,"Allons-nous-en, vite, vite",=,=
198,"Quelle idée de s’attarder en un tel endroit, et précisément cette nuit",=,=
199,"– Qu’est-ce que c’était",=,=
200,"demandèrent encore les autres, la voix de chacun trahissant l’émotion qui lui était propre",=,=
201,"Les réponses furent assez différentes et surtout me semblèrent fort indécises, comme si tous les hommes avaient d’abord voulu dire la même chose, mais que la même peur les eût empêchés d’aller jusqu’au bout de leur pensée",=,=
202,"– C’était… c’était… oui",=,=
203,"bredouilla l’un d’eux qui n’était pas remis du choc",=,=
204,"– Un loup… mais pas tout à fait un loup","– Un mouton… mais pas tout à fait un mouton",=
205,"dit un autre en frissonnant d’horreur",=,=
206,"– Il ne sert à rien de tirer sur lui si l’on n’a pas une balle bénite, fit remarquer un troisième qui parlait avec plus de calme",=,=
207,"– Bien nous a pris de sortir cette nuit",=,=
208,"s’exclama un quatrième",=,=
209,"Vraiment, nous aurons bien gagné nos mille marks",=,=
210,"– Il y avait du sang sur les éclats de marbre, dit un autre – et ce n’est pas la foudre qui a pu l’y mettre",=,=
211,"Et lui",=,=
212,"N’est-il pas en danger",=,=
213,"Regardez sa gorge",=,=
214,"Voyez, mes amis, le loup s’est couché sur lui et lui a tenu le sang chaud",=,=
215,"L’officier, après s’être penché vers moi, déclara :  – Rien de grave ; la peau n’est même pas entamée",=,=
216,"Que signifie donc tout ceci",=,=
217,"Car nous ne l’aurions jamais trouvé sans les cris du loup",=,=
218,"– Mais cette bête, où est-elle passée","– Mais cette tête, où est-elle passée",=
219,"demanda le soldat qui me soutenait la tête et qui, de tous, paraissait être celui qui avait le mieux gardé son sang-froid",=,=
220,"– Elle est retournée chez elle, répondit son camarade",=,=
221,"Son visage était livide et il tremblait de peur en regardant autour de lui",=,=
222,"N’y a-t-il pas assez de tombes ici où elle puisse se réfugier",=,=
223,"Allons, mes amis",=,=
224,"Vite",=,=
225,"Quittons cet endroit maudit",=,=
226,"Le soldat me fit asseoir, cependant que l’officier donnait un ordre",=,=
227,"Plusieurs hommes vinrent me prendre et me placèrent sur un cheval",=,=
228,"L’officier lui-même sauta en selle derrière moi, passa ses bras autour de ma taille et à nouveau donna un ordre : celui du départ",=,=
229,"Laissant derrière nous les cyprès, nous partîmes au galop dans un alignement tout militaire",=,=
230,"Comme je n’avais pas encore recouvré l’usage de la parole, il me fut impossible de rien raconter de mon invraisemblable aventure",=,=
231,"Et sans doute tombai-je endormi, car la seule chose dont je me souvienne à partir de ce moment, c’est de m’être retrouvé debout, soutenu de chaque côté par un soldat",=,=
232,"Il faisait jour, et, vers le nord, se reflétait sur la neige un long rayon de soleil, semblable à un sentier de sang",=,=
233,"L’officier recommandait à ses hommes de ne pas parler de ce qu’ils avaient vu ; ils diraient seulement qu’ils avaient trouvé un Anglais que gardait un grand chien",=,=
234,"– Un grand chien",=,=
235,"Mais ce n’était pas un chien",=,=
236,"s’écria le soldat qui tout le temps avait montré une telle épouvante",=,=
237,"Quand je vois un loup, je sais sans doute le reconnaître d’un chien",=,=
238,"Le jeune officier reprit avec calme :  – J’ai dit un chien",=,=
239,"– Un chien",=,=
240,"répéta l’autre d’un air moqueur",=,=
241,"De toute évidence, le soleil levant lui rendait du courage ; et, me montrant du doigt, il ajouta :  – Regardez sa gorge",=,=
242,"Vous me direz que c’est un chien qui a fait ça",=,=
243,"Instinctivement, je portai la main à ma gorge et, aussitôt, je criai de douleur",=,=
244,"Tous m’entourèrent ; certains, restés en selle, se penchaient pour mieux voir",=,=
245,"Et, de nouveau, s’éleva la voix calme du jeune officier :  – Un chien, ai-je dit",=,=
246,"Si nous racontions autre chose, on se moquerait de nous",=,=
247,"Un soldat me reprit en selle avec lui, et nous poursuivîmes notre route jusque dans les faubourgs de Munich",=,=
